"","X1","X2","X3","X4","X5","X6","X7","X8","Y1"
"649",0.74,686,245,220.5,3.5,2,0.4,3,13.97
"650",0.74,686,245,220.5,3.5,3,0.4,3,14.22
"651",0.74,686,245,220.5,3.5,4,0.4,3,14.1
"652",0.74,686,245,220.5,3.5,5,0.4,3,13.78
"653",0.71,710.5,269.5,220.5,3.5,2,0.4,3,14.07
"654",0.71,710.5,269.5,220.5,3.5,3,0.4,3,14.03
"655",0.71,710.5,269.5,220.5,3.5,4,0.4,3,13.94
"656",0.71,710.5,269.5,220.5,3.5,5,0.4,3,13.86
"658",0.69,735,294,220.5,3.5,3,0.4,3,14.56
"659",0.69,735,294,220.5,3.5,4,0.4,3,14.33
"665",0.64,784,343,220.5,3.5,2,0.4,3,18.48
"666",0.64,784,343,220.5,3.5,3,0.4,3,18.71
"667",0.64,784,343,220.5,3.5,4,0.4,3,18.48
"668",0.64,784,343,220.5,3.5,5,0.4,3,18.46
"673",0.98,514.5,294,110.25,7,2,0.4,4,32.85
"674",0.98,514.5,294,110.25,7,3,0.4,4,32.67
"675",0.98,514.5,294,110.25,7,4,0.4,4,32.21
"676",0.98,514.5,294,110.25,7,5,0.4,4,32.74
"679",0.9,563.5,318.5,122.5,7,4,0.4,4,35.4
"681",0.86,588,294,147,7,2,0.4,4,32.38
"682",0.86,588,294,147,7,3,0.4,4,31.66
"683",0.86,588,294,147,7,4,0.4,4,32.15
"684",0.86,588,294,147,7,5,0.4,4,32.75
"693",0.76,661.5,416.5,122.5,7,2,0.4,4,40.68
"694",0.76,661.5,416.5,122.5,7,3,0.4,4,40.4
"695",0.76,661.5,416.5,122.5,7,4,0.4,4,40.6
"696",0.76,661.5,416.5,122.5,7,5,0.4,4,40.11
"697",0.74,686,245,220.5,3.5,2,0.4,4,14.37
"698",0.74,686,245,220.5,3.5,3,0.4,4,14.48
"699",0.74,686,245,220.5,3.5,4,0.4,4,14.32
"700",0.74,686,245,220.5,3.5,5,0.4,4,14.44
"701",0.71,710.5,269.5,220.5,3.5,2,0.4,4,14.6
"702",0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.7
"703",0.71,710.5,269.5,220.5,3.5,4,0.4,4,14.47
"704",0.71,710.5,269.5,220.5,3.5,5,0.4,4,14.66
"706",0.69,735,294,220.5,3.5,3,0.4,4,14.62
"707",0.69,735,294,220.5,3.5,4,0.4,4,14.53
"708",0.69,735,294,220.5,3.5,5,0.4,4,14.71
"713",0.64,784,343,220.5,3.5,2,0.4,4,19.06
"714",0.64,784,343,220.5,3.5,3,0.4,4,19.13
"715",0.64,784,343,220.5,3.5,4,0.4,4,19
"716",0.64,784,343,220.5,3.5,5,0.4,4,18.84
"721",0.98,514.5,294,110.25,7,2,0.4,5,32.84
"722",0.98,514.5,294,110.25,7,3,0.4,5,32.72
"723",0.98,514.5,294,110.25,7,4,0.4,5,32.21
"724",0.98,514.5,294,110.25,7,5,0.4,5,32.73
"725",0.9,563.5,318.5,122.5,7,2,0.4,5,35.67
"726",0.9,563.5,318.5,122.5,7,3,0.4,5,35.01
"727",0.9,563.5,318.5,122.5,7,4,0.4,5,34.72
"728",0.9,563.5,318.5,122.5,7,5,0.4,5,35.24
"729",0.86,588,294,147,7,2,0.4,5,32.31
"730",0.86,588,294,147,7,3,0.4,5,31.81
"732",0.86,588,294,147,7,5,0.4,5,32.06
"741",0.76,661.5,416.5,122.5,7,2,0.4,5,38.82
"742",0.76,661.5,416.5,122.5,7,3,0.4,5,39.72
"743",0.76,661.5,416.5,122.5,7,4,0.4,5,39.31
"744",0.76,661.5,416.5,122.5,7,5,0.4,5,39.86
"745",0.74,686,245,220.5,3.5,2,0.4,5,14.41
"746",0.74,686,245,220.5,3.5,3,0.4,5,14.19
"747",0.74,686,245,220.5,3.5,4,0.4,5,14.17
"748",0.74,686,245,220.5,3.5,5,0.4,5,14.39
"761",0.64,784,343,220.5,3.5,2,0.4,5,17.69
"762",0.64,784,343,220.5,3.5,3,0.4,5,18.19
"763",0.64,784,343,220.5,3.5,4,0.4,5,18.16
"764",0.64,784,343,220.5,3.5,5,0.4,5,17.88
